date,total_val_crore,p2p_val_crore,p2m_val_crore,total_vol_crore,p2p_vol_crore,p2m_vol_crore,p2m_share_pct,year,month
2020-04-01,151140.66,128029.94,23110.72,99.96,55.04,44.92,44.94,2020,4
2020-05-01,218391.6,189655.44,28736.16,123.45,73.84,49.61,40.19,2020,5
2020-06-01,261835.0,228052.84,33782.16,133.69,81.91,51.78,38.73,2020,6
2020-07-01,290537.86,251145.19,39392.67,149.74,91.92,57.82,38.61,2020,7
2020-08-01,298307.61,256433.43,41874.18,161.88,99.26,62.63,38.69,2020,8
2020-09-01,329027.66,282401.74,46625.93,180.01,109.23,70.78,39.32,2020,9
2020-10-01,386106.74,330684.11,55422.63,207.16,122.72,84.44,40.76,2020,10
2020-11-01,390999.15,329953.41,61045.73,221.02,132.47,88.56,40.07,2020,11
2020-12-01,416176.21,348006.06,68170.15,223.42,128.37,95.04,42.54,2020,12
2021-01-01,431181.89,360545.93,70635.96,230.27,129.41,100.86,43.8,2021,1
2021-02-01,425062.76,354819.42,70243.34,229.29,128.18,101.11,44.1,2021,2
2021-03-01,504886.44,421810.19,83076.25,273.17,151.55,121.62,44.52,2021,3
2021-04-01,493663.67,411827.19,81836.48,264.11,144.85,119.25,45.15,2021,4
2021-05-01,490638.65,403884.58,86754.07,253.96,139.7,114.26,44.99,2021,5
2021-06-01,547373.17,447775.59,99597.58,280.75,155.01,125.74,44.79,2021,6
2021-07-01,606281.14,493664.08,112617.06,324.78,178.18,146.6,45.14,2021,7
2021-08-01,639116.95,516207.43,122909.52,355.56,194.58,160.97,45.27,2021,8
2021-09-01,654351.81,528973.37,125378.44,365.43,198.1,167.33,45.79,2021,9
2021-10-01,771444.98,621400.74,150044.24,421.86,250.71,171.15,40.57,2021,10
2021-11-01,768436.11,618101.55,150334.56,418.65,254.79,163.85,39.14,2021,11
2021-12-01,826848.22,669127.56,157720.66,456.63,281.2,175.43,38.42,2021,12
2022-01-01,831993.11,667270.65,164722.46,461.72,275.76,185.95,40.27,2022,1
2022-02-01,826843.0,663841.98,163001.03,452.75,263.17,189.58,41.87,2022,2
2022-03-01,960581.66,777823.3,182758.36,540.56,320.12,220.45,40.78,2022,3
2022-04-01,983302.27,805925.89,177376.39,558.31,331.98,226.32,40.54,2022,4
2022-05-01,1041520.07,827153.68,214366.39,595.52,340.86,254.67,42.76,2022,5
2022-06-01,1014384.31,800412.5,213971.81,586.28,330.27,256.01,43.67,2022,6
2022-07-01,1062991.76,832265.84,230725.92,628.84,328.92,299.92,47.69,2022,7
2022-08-01,1072792.68,833370.86,239421.82,657.96,328.93,329.04,50.01,2022,8
2022-09-01,1116438.1,862049.27,254388.83,678.08,323.36,354.72,52.31,2022,9
2022-10-01,1211582.51,928872.06,282710.45,730.54,343.67,386.88,52.96,2022,10
2022-11-01,1190593.39,921601.77,268991.61,730.94,340.15,390.8,53.47,2022,11
2022-12-01,1282055.01,991748.31,290306.69,782.95,360.22,422.73,53.99,2022,12
2023-01-01,1298726.62,997781.02,300945.6,803.69,362.6,441.09,54.88,2023,1
2023-02-01,1235846.62,956834.37,279012.26,753.48,338.16,415.32,55.12,2023,2
2023-03-01,1410443.01,1088096.36,322346.66,868.53,385.9,482.62,55.57,2023,3
2023-04-01,1407007.55,1085903.07,321104.48,889.81,386.84,502.97,56.53,2023,4
2023-05-01,1489145.5,1145072.32,344073.18,941.52,404.55,536.97,57.03,2023,5
2023-06-01,1475464.27,1125422.26,350042.01,933.51,397.14,536.36,57.46,2023,6
2023-07-01,1533645.2,1148397.97,385247.22,996.46,418.44,578.02,58.01,2023,7
2023-08-01,1576536.56,1179095.66,397440.9,1058.6,438.88,619.72,58.54,2023,8
