date,volume_crore,value_crore,banks_live_on_upi
2019-11-01,121.88,189229.09,
2019-12-01,130.84,202520.76,
2020-01-01,130.5,216242.97,
2020-02-01,132.57,222516.95,
2020-03-01,124.68,206462.31,
2020-04-01,99.96,151140.66,
2020-05-01,123.45,218391.6,
2020-06-01,133.69,261835.0,
2020-07-01,149.74,290537.86,
2020-08-01,161.88,298307.61,
2020-09-01,180.02,329031.84,
2020-10-01,207.16,386106.74,
2020-11-01,221.02,390999.19,
2020-12-01,223.42,416176.22,
2021-01-01,230.27,431181.9,
2021-02-01,229.29,425062.76,
2021-03-01,273.17,504886.45,
2021-04-01,264.11,493663.68,
2021-05-01,252.92,489105.61,
2021-06-01,280.75,547373.16,
2021-07-01,324.55,605883.2,
2021-08-01,355.55,639116.95,
2021-09-01,365.58,654648.28,
2021-10-01,421.84,771406.99,
2021-11-01,418.65,768436.0,
2021-12-01,456.63,826848.23,
2022-01-01,461.72,831993.09,
2022-02-01,452.75,826843.02,
2022-03-01,540.57,960581.67,
2022-04-01,558.44,983573.45,
2022-05-01,594.63,1040220.53,
2022-06-01,586.29,1014412.62,
2022-07-01,628.93,1063117.04,
2022-08-01,658.19,1073162.17,
2022-09-01,678.08,1116438.09,
2022-10-01,730.54,1211587.5,
2022-11-01,730.94,1190593.39,
2022-12-01,782.89,1281970.86,
2023-01-01,803.86,1299058.78,
2023-02-01,753.48,1235846.58,
2023-03-01,865.16,1404950.59,
2023-04-01,886.33,1415504.71,
2023-05-01,941.52,1489145.44,
2023-06-01,933.51,1475464.26,
2023-07-01,996.43,1533536.44,
2023-08-01,1058.6,1576536.54,
2023-09-01,1055.57,1579133.18,
2023-10-01,1140.88,1715768.34,
2023-11-01,1123.53,1739740.61,
2023-12-01,1202.02,1822949.45,
2024-01-01,1220.3,1841083.97,563.0
2024-02-01,1210.27,1827869.35,565.0
2024-03-01,1344.0,1978353.23,570.0
2024-04-01,1330.4,1964464.52,573.0
2024-05-01,1403.58,2044937.05,576.0
2024-06-01,1388.51,2007081.2,578.0
2024-07-01,1443.56,2064292.41,580.0
2024-08-01,1496.3,2060735.57,584.0
2024-09-01,1504.17,2063994.71,590.0
2024-10-01,1658.5,2349821.46,601.0
2024-11-01,1548.2,2155187.41,612.0
2024-12-01,1673.0,2324699.94,620.0
2025-01-01,1699.6,2348037.11,630.0
2025-02-01,1610.62,2196481.7,640.0
2025-03-01,1830.15,2477221.59,645.0
2025-04-01,1789.34,2394925.87,650.0
2025-05-01,1867.75,2514297.01,655.0
2025-06-01,1839.5,2403930.69,660.0
2025-07-01,1946.79,2508498.1,665.0
2025-08-01,2000.83,2485472.9,670.0
2025-09-01,1963.34,2489736.52,675.0
2025-10-01,2070.09,2727790.71,678.0
2025-11-01,2046.7,2631632.64,680.0
2025-12-01,2163.47,2796712.71,682.0
2026-01-01,2170.34,2833481.26,684.0
2026-02-01,2039.42,2684229.3,684.0
2026-03-01,2264.11,2952542.03,
